x,y,hover,eod
128.65119263979875,64.17083858908791,0.0,0.0
128.37726827362596,68.68303814563171,0.0,0.0
129.0262394544207,81.1705905263999,0.0,0.0
128.92565847052012,93.88895208353654,0.0,0.0
128.67551151789144,108.67005689794235,0.0,0.0
127.79451532545849,126.5542461351962,0.0,0.0
127.1319305489081,145.6661045742104,0.0,0.0
127.41237095642174,163.83991914279534,0.0,0.0
128.67273974013406,179.056192146449,0.0,0.0
129.6302086755313,188.68791278013566,0.0,0.0
129.82807695078063,192.92449164307732,0.0,1.0
