x,y,hover,eod
133.9979968815063,78.40699475624247,0.0,0.0
133.99639410015703,77.81275230337518,0.0,0.0
133.72181439853787,77.93572448015317,0.0,0.0
132.01321724885173,79.29100064281567,0.0,0.0
128.842306888562,84.11484615443862,0.0,0.0
123.547598775823,93.27161924992936,0.0,0.0
118.1542300322133,105.86978940301253,0.0,0.0
112.36438021737261,126.24763698573236,0.0,0.0
110.98573289809136,145.79784342041114,0.0,0.0
113.49693920676138,163.90409516701322,0.0,0.0
118.35737741096388,175.56769352848426,0.0,0.0
123.98987169049214,179.95833562519,0.0,0.0
134.08259706053846,178.59592371495847,0.0,0.0
141.66267504489528,171.14771251239864,0.0,0.0
145.2417258559755,163.20438355476443,0.0,0.0
146.62598394351826,156.04785629783436,0.0,0.0
145.62812179969038,149.48936431466694,0.0,0.0
142.3302165940498,143.39260358544794,0.0,0.0
138.44027507594188,140.00621409974065,0.0,0.0
133.58505668957858,138.86978716064607,0.0,0.0
127.61059895988146,138.22486660410618,0.0,0.0
121.1032453466519,140.22759358119657,0.0,0.0
116.896171848564,142.62853901574778,0.0,0.0
113.72576703531345,144.83331639587908,0.0,0.0
113.15406612919905,145.60020001352513,0.0,0.0
113.93852525628364,146.14989780656776,0.0,1.0
