x,y,hover,eod
93.73914634436369,98.09054833650589,0.0,0.0
98.05018519610167,89.8219285607338,0.0,0.0
106.42660593241453,82.14825850725174,0.0,0.0
117.76884292811155,77.15531688928604,0.0,0.0
128.49096392840147,78.9592659175396,0.0,0.0
136.61182319372892,87.88180467486382,0.0,0.0
140.84554558247328,101.10366222262383,0.0,0.0
140.18560638278723,119.48693868517876,0.0,0.0
134.00051524490118,136.2951314151287,0.0,0.0
123.99763038009405,151.3619517982006,0.0,0.0
113.3883791193366,162.31098529696465,0.0,0.0
105.00309934467077,168.5594147145748,0.0,0.0
100.47577907890081,170.87952223420143,0.0,0.0
99.34059073776007,171.176308773458,0.0,0.0
100.09208587557077,171.1245688451454,0.0,0.0
102.31754837185144,171.12167258094996,0.0,0.0
108.66892812401056,170.9780157385394,0.0,0.0
122.08557603508234,171.83909990172833,0.0,0.0
136.4177322164178,172.84341708105057,0.0,0.0
149.18334601074457,175.05665391962975,0.0,0.0
158.18703708797693,176.67638302128762,0.0,0.0
161.9453519359231,177.88342252653092,0.0,0.0
164.04769939929247,178.91071431618184,0.0,0.0
164.1119939191267,179.2997761098668,0.0,0.0
163.86175402533263,179.13165442924947,0.0,1.0
